RefSeq_oriC,Avg_occurance,Correct
NC_021916_0,0.5777777777777777,False
NC_021916_1,0.07777777777777775,False
NC_021916_2,0.07777777777777775,False
NC_021916_3,0.1333333333333333,False
NC_021916_4,0.06666666666666665,False
NC_021916_5,0.0333333333333333,False
NC_021916_6,0.0333333333333333,False
NC_018416_0,0.5454545454545454,False
NC_018416_1,0.29545454545454547,False
NC_018416_2,0.1136363636363636,False
NC_018416_3,0.0227272727272727,False
NC_018416_4,0.0227272727272727,False
NC_010118_0,0.6621621621621622,False
NC_010118_1,0.16216216216216214,False
NC_010118_2,0.0945945945945946,False
NC_010118_3,0.0405405405405405,False
NC_010118_4,0.027027027027027,False
NC_010118_5,0.0135135135135135,False
NC_004545_0,0.5555555555555556,False
NC_004545_1,0.4444444444444444,True
NC_006055_0,0.5,True
NC_006055_1,0.5,False
NC_017429_0,0.5757575757575758,True
NC_017429_1,0.4242424242424242,False
NC_017042_0,0.4635294117647059,True
NC_017042_1,0.2188235294117647,False
NC_017042_2,0.1788235294117647,False
NC_017042_3,0.08941176470588234,False
NC_017042_4,0.04941176470588235,False
NC_017503_0,0.3388888888888889,True
NC_017503_1,0.28888888888888886,False
NC_017503_2,0.18888888888888888,False
NC_017503_3,0.1833333333333333,False
NC_020419_0,0.5,True
NC_020419_1,0.5,False
NC_002506_0,0.4583333333333333,True
NC_002506_1,0.12499999999999994,False
NC_002506_2,0.12499999999999994,False
NC_002506_3,0.29166666666666663,False
NC_021891_0,0.4861111111111111,True
NC_021891_1,0.3055555555555555,False
NC_021891_2,0.20833333333333331,False
NC_007494_0,0.14705882352941174,True
NC_007494_1,0.1323529411764706,False
NC_007494_2,0.1029411764705882,False
NC_007494_3,0.1029411764705882,False
NC_007494_4,0.01470588235294115,False
NC_017953_0,0.6590909090909092,True
NC_017953_1,0.3409090909090909,False
NC_017177_0,0.6875,False
NC_017177_1,0.3125,False
NC_014448_0,0.44705882352941173,False
NC_014448_1,0.24705882352941175,False
NC_014448_2,0.18431372549019603,False
NC_014448_3,0.12156862745098035,False
NC_021897_0,0.6233766233766234,True
NC_021897_1,0.3766233766233766,False
NC_023004_0,0.45,True
NC_023004_1,0.4071428571428571,False
NC_023004_2,0.14285714285714285,False
NC_016638_0,0.4642857142857143,True
NC_016638_1,0.21428571428571425,False
NC_016638_2,0.32142857142857134,False
NC_013532_0,0.41470588235294115,True
NC_013532_1,0.1838235294117647,False
NC_013532_2,0.1838235294117647,False
NC_013532_3,0.07941176470588235,False
NC_013532_4,0.13823529411764707,False
NC_006841_0,1.0,True
NC_016931_0,0.3714285714285714,False
NC_016931_1,0.0714285714285714,False
NC_016931_2,0.0714285714285714,False
NC_016931_3,0.35,False
NC_016931_4,0.1357142857142857,False
NC_019439_0,0.2232905982905983,False
NC_019439_1,0.14636752136752135,False
NC_019439_2,0.14636752136752135,False
NC_019439_3,0.2019230769230769,False
NC_019439_4,0.12179487179487175,False
NC_019439_5,0.0801282051282051,False
NC_019439_6,0.0523504273504273,True
NC_019439_7,0.02777777777777775,False
NC_022660_0,0.6313131313131313,True
NC_022660_1,0.2676767676767677,False
NC_022660_2,0.101010101010101,False
NZ_CP010435_0,0.3221153846153846,False
NZ_CP010435_1,0.28525641025641024,True
NZ_CP010435_2,0.1394230769230769,False
NZ_CP010435_3,0.17467948717948717,False
NZ_CP010435_4,0.07852564102564094,False
NC_017430_0,0.5757575757575758,True
NC_017430_1,0.4242424242424242,False
NC_020511_0,0.6590909090909092,True
NC_020511_1,0.3409090909090909,False
NC_011025_0,0.16919191919191917,True
NC_011025_1,0.0896464646464646,False
NC_011025_2,0.11237373737373735,False
NC_011025_3,0.16287878787878785,False
NC_011025_4,0.16287878787878785,False
NC_011025_5,0.19065656565656564,False
NC_011025_6,0.0391414141414141,False
NC_011025_7,0.0391414141414141,False
NC_011025_8,0.01136363636363635,False
NC_011025_9,0.0227272727272727,False
NC_015596_0,0.44565217391304346,False
NC_015596_1,0.42391304347826086,False
NC_015596_2,0.0652173913043478,False
NC_015596_3,0.0217391304347826,True
NC_015596_4,0.0217391304347826,False
NC_015596_5,0.0217391304347826,False
NC_023151_0,0.2596153846153846,False
NC_023151_1,0.2596153846153846,True
NC_023151_2,0.12019230769230765,False
NC_023151_3,0.12019230769230765,False
NC_023151_4,0.12019230769230765,False
NC_023151_5,0.10096153846153845,False
NC_023151_6,0.0192307692307692,False
NC_008054_0,0.8090909090909091,True
NC_008054_1,0.14545454545454545,False
NC_008054_2,0.04545454545454545,False
NC_020943_0,0.5757575757575758,True
NC_020943_1,0.4242424242424242,False
NC_017951_0,0.6590909090909092,True
NC_017951_1,0.3409090909090909,False
NC_020964_0,0.6590909090909092,True
NC_020964_1,0.3409090909090909,False
NZ_LN515399_0,0.24479166666666666,False
NZ_LN515399_1,0.24479166666666666,False
NZ_LN515399_2,0.19618055555555555,True
NZ_LN515399_3,0.19618055555555555,False
NZ_LN515399_4,0.07118055555555555,False
NZ_LN515399_5,0.046875,False
NZ_CP017125_0,0.24479166666666666,False
NZ_CP017125_1,0.24479166666666666,False
NZ_CP017125_2,0.19618055555555555,True
NZ_CP017125_3,0.19618055555555555,False
NZ_CP017125_4,0.07118055555555555,False
NZ_CP017125_5,0.046875,False
NC_007509_0,0.4230769230769231,True
NC_007509_1,0.0769230769230769,False
NZ_CP017658_0,1.0,True
NC_022439_0,1.0,True
NC_022109_0,0.5757575757575758,True
NC_022109_1,0.4242424242424242,False
NC_020939_0,0.5757575757575758,True
NC_020939_1,0.4242424242424242,False
NC_015662_0,0.7083333333333333,True
NC_015662_1,0.29166666666666663,False
NZ_CP015412_0,0.5353535353535354,True
NZ_CP015412_1,0.46464646464646464,False
NZ_CP025257_0,0.35,False
NZ_CP025257_1,0.225,False
NZ_CP025257_2,0.125,False
NZ_CP025257_3,0.125,False
NZ_CP025257_4,0.175,False
NC_020968_0,0.5757575757575758,True
NC_020968_1,0.4242424242424242,False
NZ_CP008751_0,0.43137254901960786,False
NZ_CP008751_1,0.3627450980392157,False
NZ_CP008751_2,0.20588235294117646,True
NZ_CP007762_0,0.43137254901960786,False
NZ_CP007762_1,0.3627450980392157,False
NZ_CP007762_2,0.20588235294117646,True
NZ_CP018479_0,0.43137254901960786,False
NZ_CP018479_1,0.3627450980392157,False
NZ_CP018479_2,0.20588235294117646,True
NZ_CP011127_0,1.0,True
NZ_LT605586_0,0.7142857142857142,True
NZ_LT605586_1,0.21428571428571425,False
NZ_LT605586_2,0.0714285714285714,False
NZ_CP022205_0,0.43137254901960786,False
NZ_CP022205_1,0.3627450980392157,False
NZ_CP022205_2,0.20588235294117646,True
NC_014014_0,0.282051282051282,False
NC_014014_1,0.26098901098901095,False
NC_014014_2,0.1602564102564102,False
NC_014014_3,0.1602564102564102,False
NC_014014_4,0.1364468864468864,True
NZ_CP007588_0,1.0,True
NZ_CP016779_0,0.6875,True
NZ_CP016779_1,0.09375,False
NZ_CP016779_2,0.09375,False
NZ_CP016779_3,0.0625,False
NZ_CP016779_4,0.0625,False
NC_012891_0,1.0,True
NZ_AP014596_0,1.0,True
NC_022584_0,0.8785714285714286,True
NC_022584_1,0.1214285714285714,False
NC_012815_0,0.78125,True
NC_012815_1,0.21875,False
NZ_CP016028_0,1.0,True
NZ_CP006819_0,1.0,True
NC_022239_0,1.0,True
NZ_CP016391_0,1.0,True
NZ_AP012323_0,0.45586206896551723,True
NZ_AP012323_1,0.15172413793103445,False
NZ_AP012323_2,0.11172413793103445,False
NZ_AP012323_3,0.11172413793103445,False
NZ_AP012323_4,0.11172413793103445,False
NZ_AP012323_5,0.0372413793103448,False
NZ_AP012323_6,0.02,False
NZ_CP014341_0,1.0,True
NZ_CP007790_0,0.47737556561085975,True
NZ_CP007790_1,0.11538461538461535,False
NZ_CP007790_2,0.0641025641025641,False
NZ_CP007790_3,0.0769230769230769,False
NZ_CP007790_4,0.12669683257918551,False
NZ_CP007790_5,0.05505279034690795,False
NZ_CP007790_6,0.04223227752639515,False
NZ_CP007790_7,0.04223227752639515,False
NZ_AP014680_0,1.0,True
NZ_CP020356_0,1.0,True
NZ_CP017711_0,1.0,True
NC_022442_0,1.0,True
NZ_CP014113_0,0.7762096774193548,True
NZ_CP014113_1,0.22379032258064516,False
NZ_CP014998_0,1.0,True
NZ_CP018486_0,0.40625,False
NZ_CP018486_1,0.3125,False
NZ_CP018486_2,0.28125,True
NC_020564_0,1.0,True
NZ_CP019595_0,0.6705128205128206,True
NZ_CP019595_1,0.3294871794871795,False
NZ_CP014623_0,1.0,True
NZ_CP013953_0,1.0,True
NZ_CP020773_0,1.0,True
NZ_CP014890_0,0.5168421052631579,True
NZ_CP014890_1,0.37684210526315787,False
NZ_CP014890_2,0.1063157894736842,False
NZ_CP020019_0,0.6208133971291866,True
NZ_CP020019_1,0.37918660287081335,False
NZ_CP004350_0,0.5579044117647058,True
NZ_CP004350_1,0.24264705882352938,False
NZ_CP004350_2,0.12316176470588235,False
NZ_CP004350_3,0.07628676470588235,False
NZ_CP016537_0,1.0,True
NZ_CP012976_0,1.0,True
NZ_CP014432_0,1.0,True
NZ_CP010309_0,1.0,True
NZ_CP014915_0,0.7142857142857143,True
NZ_CP014915_1,0.2857142857142857,False
NZ_CP015207_0,0.4857954545454546,True
NZ_CP015207_1,0.23579545454545453,False
NZ_CP015207_2,0.1448863636363636,False
NZ_CP015207_3,0.13352272727272724,False
NZ_CP014542_0,0.7840909090909092,True
NZ_CP014542_1,0.21590909090909088,False
NZ_CP013688_0,1.0,True
NZ_AP014880_0,1.0,True
NZ_CP017406_0,0.7186147186147187,True
NZ_CP017406_1,0.28138528138528135,False
NZ_CP017953_0,1.0,True
NZ_CP006890_0,1.0,True
NZ_CP012117_0,0.4873188405797102,True
NZ_CP012117_1,0.1956521739130435,False
NZ_CP012117_2,0.0217391304347826,False
NZ_CP012117_3,0.1467391304347826,False
NZ_CP012117_4,0.06340579710144925,False
NZ_CP012117_5,0.08514492753623185,False
NC_021915_0,0.5625,True
NC_021915_1,0.16666666666666663,False
NC_021915_2,0.09375,False
NC_021915_3,0.09375,False
NC_021915_4,0.04166666666666665,False
NC_021915_5,0.0208333333333333,False
NC_021915_6,0.0208333333333333,False
NZ_CP005997_0,1.0,True
NZ_CP016598_0,0.5833333333333333,True
NZ_CP016598_1,0.41666666666666663,False
NZ_CP017786_0,0.8574074074074074,True
NZ_CP017786_1,0.14259259259259255,False
NZ_CP011937_0,1.0,True
NZ_CP016278_0,1.0,True
