min_confidence,precision_standard,recall_standard,distance_pc_standard,precision_no_G,recall_no_G,distance_pc_no_G,precision_sep_G,recall_sep_G,distance_pc_sep_G
-3.0,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-2.9,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-2.8,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-2.7,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-2.6,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-2.5,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-2.4,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-2.3,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-2.2,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-2.1,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-2.0,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-1.9,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-1.8,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-1.7,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-1.6,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-1.5,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-1.4,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-1.3,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-1.2,77.98555036124097,100.0,2.321716957076073,76.62558436039099,100.0,2.996600084997875,75.94086021505376,100.0,2.735663082437276
-1.1,78.0093577201191,99.89106753812636,2.3198638877073585,76.62558436039099,100.0,2.996600084997875,75.97489914836396,99.94103773584906,2.7324069923800987
-1.0,80.1762114537445,95.63846558066211,1.6180616740088105,80.59166293142088,93.64583333333333,1.6414164051994622,79.49571836346337,92.78178789561355,1.7554709800190296
-0.9,81.58013544018058,92.90488431876607,1.2424379232505642,81.94380469829572,90.71902090770016,1.3012436665131275,81.06508875739645,88.96103896103897,1.445759368836292
-0.8,82.47941445562672,91.5228426395939,1.1120768526989937,82.28200371057514,90.0050735667174,1.278756957328386,81.63672654690619,87.76824034334764,1.4161676646706587
