min_confidence,precision_v3,recall_v3,precision_v4,recall_v4
0,69.8780487804878,100.0,74.81005885500267,100.0
1,69.8780487804878,100.0,74.81005885500267,100.0
2,69.8780487804878,100.0,74.81806506849315,99.98569794050344
3,69.8780487804878,100.0,74.89019817889663,99.8571632623911
4,69.8780487804878,100.0,75.00536595836016,99.615165336374
5,69.8780487804878,100.0,75.19913885898816,99.21886095725039
6,69.8780487804878,100.0,75.38577749001834,98.89580973952435
7,69.8780487804878,100.0,75.93780580624116,97.92484576556366
8,69.8780487804878,100.0,76.2778505897772,97.3651191969887
9,69.8780487804878,100.0,76.68570173511971,96.69066740515093
10,69.8780487804878,100.0,77.02404588572689,96.1580831726797
11,69.8780487804878,100.0,77.37355811889974,95.49623545516769
12,69.8780487804878,100.0,77.52334370831481,95.23419363648777
13,69.8780487804878,100.0,77.70842621489076,94.9217154526889
14,69.8780487804878,100.0,77.87709497206704,94.6367956551256
15,69.8780487804878,100.0,78.05287922921802,94.32710533441646
16,69.8780487804878,100.0,78.22961132329813,94.01917105440799
17,69.92068334350213,99.9128160418483,78.46275216950299,93.65079365079364
18,70.00610873549175,99.73890339425587,78.64494966632734,93.24124983237226
19,70.17758726270668,99.39288811795318,79.69484914534817,91.7095709570957
20,70.30674846625767,99.13494809688581,79.76546332490227,91.47000659195781
21,70.66090179122916,98.19742489270386,79.98382998382998,90.97477666841829
22,70.93167701863354,97.44027303754265,80.18780431254348,90.58407543216343
23,71.33041848844472,96.69771380186283,80.2811991633744,90.3373430962343
24,71.76100628930817,95.80184718723763,80.5844535359439,89.71889640812077
25,71.98738170347004,95.40133779264214,80.6791569086651,89.53866146848603
26,72.55902999361837,93.96694214876034,81.06418121755546,88.77260981912146
27,73.03732303732303,92.95659295659296,81.24185330015405,88.32775057974749
28,73.44559585492227,92.19512195121952,81.41056137012369,87.95939347211514
29,73.77370830608241,91.0411622276029,81.76266315411328,87.29225262081309
30,74.37252311756936,89.93610223642172,81.97233914612147,86.87229161356105
31,74.68354430379746,88.96825396825396,82.15496368038741,86.21522042942446
32,74.88309953239813,88.6867088607595,82.32643118148599,85.62199138586269
33,75.15110812625923,88.11023622047244,83.30451963447764,84.39884899286876
34,75.66462167689161,86.51597817614964,83.55738113019666,83.66151545363908
35,75.85969738651994,85.57020946470132,84.66691947920617,82.3659616330546
36,75.94762232942797,85.36018590240124,84.88194973343488,82.00883002207505
37,76.51567944250871,84.26707597851113,85.19749456730155,81.40955172834983
38,76.68539325842697,83.4862385321101,85.39123731209045,80.96978557504873
39,76.88513037350246,83.15548780487805,85.57605470261902,80.62477209189255
40,77.31152204836415,82.28614685844057,85.65132858068696,80.21364408837096
41,77.46781115879828,81.73584905660377,85.9965973040178,79.40785498489426
42,77.57009345794393,81.25,86.32534877599369,78.96701179869974
43,77.81000725163162,80.43478260869566,86.50265957446808,78.09123649459784
44,78.17518248175183,79.86577181208054,86.69871794871796,77.75781530722242
45,78.1844802342606,79.58271236959762,86.7702196036422,77.53978700490607
46,78.5925925925926,78.53441894892671,86.85845488924906,76.81557572861921
47,78.83755588673621,78.023598820059,86.914749661705,76.66507519694437
48,79.29216867469879,77.14285714285715,87.1038551241597,75.53837001784652
49,79.29216867469879,77.14285714285715,87.1618838390773,75.48156956004757
