min_confidence,precision_v3,recall_v3,distance_pc_v3,precision_v4,recall_v4,distance_pc_v4,precision_v5,recall_v5,distance_pc_v5
0,69.8780487804878,100.0,4.8707317073170735,74.81005885500267,100.0,2.768860353130016,76.05136436597111,100.0,2.358266452648475
1,69.8780487804878,100.0,4.8707317073170735,74.81005885500267,100.0,2.768860353130016,76.05136436597111,100.0,2.358266452648475
2,69.8780487804878,100.0,4.8707317073170735,74.81806506849315,99.98569794050344,2.768835616438356,76.05136436597111,100.0,2.358266452648475
3,69.8780487804878,100.0,4.8707317073170735,74.89019817889663,99.8571632623911,2.760149973219068,76.05136436597111,100.0,2.358266452648475
4,69.8780487804878,100.0,4.8707317073170735,75.00536595836016,99.615165336374,2.7440437862202187,76.05136436597111,100.0,2.358266452648475
5,69.8780487804878,100.0,4.8707317073170735,75.19913885898816,99.21886095725039,2.711410118406889,76.05136436597111,100.0,2.358266452648475
6,69.8780487804878,100.0,4.8707317073170735,75.38577749001834,98.89580973952435,2.6912700981979065,76.05136436597111,100.0,2.358266452648475
7,69.8780487804878,100.0,4.8707317073170735,75.93780580624116,97.92484576556366,2.6519517233880614,76.06764422562347,99.9718666479111,2.3528845124692284
8,69.8780487804878,100.0,4.8707317073170735,76.2778505897772,97.3651191969887,2.615661861074705,76.0732255647147,99.943741209564,2.351354244727545
9,69.8780487804878,100.0,4.8707317073170735,76.68570173511971,96.69066740515093,2.5741269492642216,76.0813704496788,99.92968640135003,2.3497858672376872
10,69.8780487804878,100.0,4.8707317073170735,77.02404588572689,96.1580831726797,2.514008382969336,76.1032562125107,99.87348889513635,2.346401028277635
11,69.8780487804878,100.0,4.8707317073170735,77.37355811889974,95.49623545516769,2.442879325643301,76.12771884710168,99.83138963046227,2.3435122682952962
12,69.8780487804878,100.0,4.8707317073170735,77.52334370831481,95.23419363648777,2.4197421076033794,76.13587655379341,99.81736442821017,2.3390484354907843
13,69.8780487804878,100.0,4.8707317073170735,77.70842621489076,94.9217154526889,2.370820329915292,76.16852487135506,99.76130300477394,2.3296526586620927
14,69.8780487804878,100.0,4.8707317073170735,77.87709497206704,94.6367956551256,2.3576536312849163,76.18792234259358,99.69122807017544,2.3254317279845544
15,69.8780487804878,100.0,4.8707317073170735,78.05287922921802,94.32710533441646,2.330047053551423,76.22880446447735,99.62131837307153,2.3159476282464047
16,69.8780487804878,100.0,4.8707317073170735,78.22961132329813,94.01917105440799,2.301842282633116,76.23751744872759,99.55131800336513,2.3148287340277034
17,69.92068334350213,99.9128160418483,4.870042708968883,78.46275216950299,93.65079365079364,2.2566212104136145,76.29231595916174,99.43969743661577,2.2975819451907578
18,70.00610873549175,99.73890339425587,4.836285888821014,78.64494966632734,93.24124983237226,2.2287071598235495,76.32258064516128,99.37001259974801,2.2872043010752687
19,70.17758726270668,99.39288811795318,4.791181873851807,79.69484914534817,91.7095709570957,1.946885396351956,76.35287789133943,99.3004057646565,2.278859601936525
20,70.30674846625767,99.13494809688581,4.733128834355829,79.76546332490227,91.47000659195781,1.9343527247643135,76.39143072451287,99.21700223713647,2.275379481106685
21,70.66090179122916,98.19742489270386,4.701667696108709,79.98382998382998,90.97477666841829,1.8766458766458767,76.41611027353005,99.17540181691125,2.2701916864096487
22,70.93167701863354,97.44027303754265,4.619875776397516,80.18780431254348,90.58407543216343,1.864363552051936,76.46044406122009,99.06437648373132,2.25684414744557
23,71.33041848844472,96.69771380186283,4.575890068707058,80.2811991633744,90.3373430962343,1.8506855682082268,76.46044406122009,99.06437648373132,2.25684414744557
24,71.76100628930817,95.80184718723763,4.521383647798742,80.5844535359439,89.71889640812077,1.764114552893045,76.48327939590077,98.95324494068389,2.2457389428263212
25,71.98738170347004,95.40133779264214,4.44794952681388,80.6791569086651,89.53866146848603,1.7466042154566745,76.5061541783632,98.84223741107546,2.2383934355430792
26,72.55902999361837,93.96694214876034,4.23356732610083,81.06418121755546,88.77260981912146,1.6615148655025955,76.53039152065759,98.62020905923346,2.2276660177374
27,73.03732303732303,92.95659295659296,4.077863577863578,81.24185330015405,88.32775057974749,1.6230596042185093,76.58584109114527,98.51016429963798,2.2126001298982465
28,73.44559585492227,92.19512195121952,3.95660621761658,81.41056137012369,87.95939347211514,1.6059705042816366,76.57198612315698,98.31570155902004,2.210320901994796
29,73.77370830608241,91.0411622276029,3.894702419882276,81.76266315411328,87.29225262081309,1.5572985271225004,76.72750977835724,98.04248229904206,2.191438504997827
30,74.37252311756936,89.93610223642172,3.7800528401585205,81.97233914612147,86.87229161356105,1.5249549007817198,76.7692140450049,97.97447280799112,2.1837156212631808
31,74.68354430379746,88.96825396825396,3.7088607594936707,82.15496368038741,86.21522042942446,1.481598062953995,76.77988242978445,97.79534109816971,2.1798388852601787
32,74.88309953239813,88.6867088607595,3.644622578490314,82.32643118148599,85.62199138586269,1.4523751522533497,76.80575226059484,97.69955654101996,2.170715764244471
33,75.15110812625923,88.11023622047244,3.567494963062458,83.30451963447764,84.39884899286876,1.2993331686836256,76.88195505127645,97.52283420979795,2.1487017237617283
34,75.66462167689161,86.51597817614964,3.4642126789366054,83.55738113019666,83.66151545363908,1.256285785411999,76.92984385308995,96.53649786118393,2.130745546514185
35,75.85969738651994,85.57020946470132,3.416093535075653,84.66691947920617,82.3659616330546,1.0666161041587663,77.0939226519337,95.94334433443345,2.0864088397790055
36,75.94762232942797,85.36018590240124,3.4135079255685734,84.88194973343488,82.00883002207505,1.0374460522975375,77.29238274753298,95.53241057969029,2.021288391174188
