Index,seq_len,num_of_genes,calc_disp_time,read_genes_time,total_time
0,138927,179,0.683861494064331,0.454251766204834,1.2237119674682617
1,709270,808,2.644162654876709,1.9879040718078613,4.991819858551025
2,900512,784,3.5002779960632324,1.968094825744629,6.116443634033203
3,1038842,899,4.789214372634888,2.2418384552001953,7.598534345626831
4,1072136,1057,7.739018440246582,11.659575700759888,20.687902212142944
5,1157385,974,7.969956874847412,2.238853931427002,11.37876296043396
6,1187978,1055,7.45465350151062,2.749030590057373,11.82293152809143
7,1281472,1036,8.575174570083618,2.920344591140747,13.082699298858643
8,1390397,1322,9.173307657241821,3.812016010284424,14.42468786239624
9,1549666,1450,9.709291934967041,3.9798436164855957,15.482141971588135
10,1627712,1446,10.871458530426025,4.343829393386841,17.160358667373657
11,1680879,1568,11.325641393661499,4.070985794067383,17.290241956710815
12,1787436,1784,11.667192459106445,4.064497232437134,17.708155155181885
13,1848756,1825,11.749725818634033,4.3985514640808105,17.995461225509644
14,1887974,1686,12.206460237503052,4.5849690437316895,18.730727672576904
15,1922599,1840,12.476494073867798,4.500115156173706,18.875682830810547
16,1966342,1829,7.567558765411377,4.583312273025513,13.398171186447144
17,2024171,1822,6.814908027648926,4.797923564910889,12.723008632659912
18,2073113,2038,7.013318300247192,5.075704336166382,13.1827392578125
19,2111515,2321,6.806050062179565,6.340548276901245,14.444542169570923
20,2127882,2046,6.933744192123413,4.875903367996216,13.138358116149902
21,2159491,2035,7.08154296875,5.772036075592041,14.181365728378296
22,2179445,2063,7.440338373184204,5.270730257034302,13.977225065231323
23,2223518,2138,7.081092834472656,5.226645469665527,13.703750848770142
24,2272494,2037,7.3022239208221436,5.714661598205566,14.56360912322998
25,2334828,2049,8.245877742767334,5.064208745956421,14.726876258850098
26,2360663,2166,7.540209054946899,5.502010107040405,14.432663679122925
27,2403533,2131,8.12278437614441,5.185201168060303,14.867284297943115
28,2469596,2333,10.729625940322876,6.44099235534668,20.145921230316162
29,2520064,2423,18.04498052597046,6.796219825744629,28.44026517868042
30,2582931,2406,10.995254755020142,6.630162000656128,19.687978267669678
31,2655351,2306,19.943016052246094,6.69987940788269,30.937965393066406
32,2715461,2524,20.945767879486084,7.046469688415527,31.18851923942566
33,2759867,2592,17.37434434890747,7.20988917350769,27.871100425720215
34,2796894,2708,20.9270761013031,6.791553974151611,31.070900440216064
35,2839759,2644,19.29883050918579,7.818284511566162,30.096901178359985
36,2875491,2776,18.193816423416138,7.683719158172607,29.481651544570923
37,2909809,2832,19.745060443878174,8.500131607055664,32.844970703125
