BioSample	Assembly
SAMN14225287	
SAMN14225285	
SAMN14225283	
SAMN14225281	
SAMN14225274	
SAMN14224827	
SAMN14224823	
SAMN14224822	
SAMN14224820	
SAMN14224818	
SAMN14224812	
SAMN14224802	
SAMN14224796	
SAMN14224795	
SAMN14224787	
SAMN14224786	
SAMN14224774	
SAMN14224750	
SAMN14224749	
SAMN14224742	
SAMN14224740	
SAMN14224733	
SAMN14224732	
SAMN14224726	
SAMN14224725	
SAMN14224718	
SAMN14224715	
SAMN14224713	
SAMN14224708	
SAMN14224706	
SAMN14224705	
SAMN14224683	
SAMN14224682	
SAMN14224675	
SAMN14224669	
SAMN14224668	
SAMN14224665	
SAMN14224655	
SAMN14224642	
SAMN14224641	
SAMN14224640	
SAMN14224637	
SAMN14224635	
SAMN14224632	
SAMN14224626	
SAMN14224535	
SAMN14224529	
SAMN14224523	
SAMN14224507	
SAMN14224505	
SAMN14224498	
SAMN14224486	
SAMN14224460	
SAMN14224458	
SAMN14224457	
SAMN14224418	
SAMN14224417	
SAMN14224375	
SAMN14224366	
SAMN14224363	
SAMN14224351	
SAMN14224337	
SAMN14224336	
SAMN14224334	
SAMN14224333	
SAMN14224329	
SAMN14224312	
SAMN14224311	
SAMN14224310	
SAMN14224301	
SAMN14224299	
SAMN14224281	
SAMN14224274	
SAMN14224258	
SAMN14224257	
SAMN14224255	
SAMN14224254	
SAMN14224190	
SAMN02604091	GCF_000005845.2 GCF_000005845.1
SAMN03274004	GCF_000934625.1
SAMN03269975	GCF_001274875.1
SAMN02603756	GCF_000018785.1
SAMN02152539	GCF_000364385.3 GCF_000364385.1 GCF_000364385.2
SAMEA2547783	GCF_000952955.1
SAMEA2547782	GCF_000953515.1
SAMEA3138414	GCF_000284495.1
SAMEA3138318	GCF_000195735.1
SAMEA3138242	
SAMEA3138241	
SAMEA3138240	
SAMEA3138239	
SAMEA3138238	
SAMEA3138237	
SAMEA3138192	GCF_000009125.1
SAMN02603310	GCF_000359525.1
SAMN02603115	GCF_000008745.1
SAMN04093378	GCF_003003495.1
SAMN07509424	GCF_008365335.1
SAMN07491056	GCF_002843435.1
SAMN07313362	GCF_002222655.1
SAMN06622699	GCF_002076835.1
SAMN06622698	GCF_002076855.1
SAMN04100937	GCF_002843345.1
SAMD00061088	GCF_000009765.2 GCF_000009765.1
SAMD00061081	GCF_000010245.2 GCF_000010245.1
SAMD00061051	GCF_000284575.1
SAMN05725998	GCF_001729485.1
SAMN02641639	GCF_000517425.1
SAMN02641384	GCF_000520055.1
SAMN02641383	GCF_000520035.1
SAMN02604290	GCF_000090965.1
SAMN02604248	GCF_000319385.1
SAMN02604163	GCF_000286815.1
SAMN02604162	GCF_000286795.1
SAMN02604161	GCF_000286775.1
SAMN02604160	GCF_000286755.1
SAMN02604159	GCF_000286735.1
SAMN02604158	GCF_000286715.1
SAMN02604157	GCF_000286695.1
SAMN02604156	GCF_000286675.1
SAMN02604155	GCF_000025385.1
SAMN02604154	GCF_000025365.1
SAMN02604143	GCF_000341665.1
SAMN02604135	GCF_000021705.1
SAMN02604113	GCF_000312685.1
SAMN02604096	GCF_000007405.1
SAMN02604093	GCF_000006645.1
SAMN02604092	GCF_000006665.1
SAMN02604081	GCF_000092585.1
SAMN02603683	GCF_000092385.1
SAMN02603664	GCF_000196395.1
SAMN02603522	GCF_000346065.1
SAMN02603406	GCF_000227625.1
SAMN02603149	GCF_000258365.1
SAMN02603139	
SAMN02603114	GCF_000008725.1
SAMN02603104	GCF_000187205.2 GCF_000187205.1
SAMN02603081	GCF_000237145.1
SAMN02602970	GCF_000007885.1
SAMN03371467	GCF_000968515.1
SAMD00012381	GCF_000306825.1
SAMN03013572	GCF_000750555.1
SAMN03081533	GCF_000626655.2 GCF_000626655.1
